,fecha,ubicacion,air_traffic_errors
1,1947-06-13,Virginia,Si
2,1948-05-22,Russia,Si
3,1949-11-01,Virginia,Si
4,1952-10-05,Russia,Si
5,1958-04-14,Spain,Si
6,1961-07-21,Alaska,Si
7,1965-02-08,New York,Si
8,1967-03-09,Ohio,Si
9,1969-03-05,Puerto Rico,Si
10,1969-09-09,Indiana,Si
11,1970-02-06,USSR,Si
12,1971-09-17,Balkan Bulgarian AL,Si
13,1971-12-04,North Carolina,Si
14,1972-01-04,Bulgaria,Si
15,1972-05-04,Russia,Si
16,1972-12-20,Illinois,Si
17,1973-07-31,Massachusetts,Si
18,1974-12-01,Virginia,Si
19,1975-03-20,Washington,Si
20,1974-12-04,Russia,Si
21,1976-09-09,Russia,Si
22,1976-09-10,Yugoslavia,Si
23,1978-02-11,BC,Si
24,1979-08-11,USSR,Si
25,1979-09-14,Italy,Si
26,1981-08-24,Russia,Si
27,1983-04-11,Russia,Si
28,1983-04-19,Russia,Si
29,1987-03-06,Aeroflot,Si
30,1989-02-18,Malaysia,Si
31,1991-02-01,California,Si
32,1992-01-20,France,Si
33,1995-09-22,Alaska,Si
34,1996-11-07,Nigeria,Si
35,1997-09-26,Indonesia,Si
36,1999-11-12,Kosovo,Si
37,2000-10-25,Georgia,Si
38,2002-07-01,Germany,Si
39,1995-03-31,Romania,Si
40,2000-09-04,Australia,Si
41,2005-08-14,Greece,Si
