,fecha,ubicacion,design_flaws
1,1931-03-31,Kansas,Si
2,1947-10-24,Utah,Si
3,1947-11-11,New Mexico,Si
4,1948-06-17,Pennsylvania,Si
5,1948-08-29,Minnesota,Si
6,1954-01-10,Italy,Si
7,1954-04-08,Italy,Si
8,1955-02-05,Nigeria,Si
9,1959-09-29,Texas,Si
10,1960-03-17,Indiana,Si
11,1970-07-05,Canada,Si
12,1974-03-03,France,Si
13,1982-07-06,Russia,Si
14,1989-02-24,United Air Lines,Si
15,1993-04-06,Over the Pacific Ocean,Si
16,1991-03-03,Colorado,Si
17,1993-04-06,Alaska,Si
18,1994-09-08,Pennsylvania,Si
19,1994-10-31,Indiana,Si
20,1997-12-05,Russia,Si
21,2018-10-29,Off Jakarta Indonesia,Si
22,2019-08-10,Ethiopia,Si
