,fecha,ubicacion,lightning_accidents
1,1929-09-03,New Mexico,Si
2,1937-07-28,Belgium,Si
3,1938-07-22,Romania,Si
4,1940-08-31,Virginia,Si
5,1946-09-27,Brazil,Si
6,1949-05-13,Russia,Si
7,1951-01-17,Italy,Si
8,1951-09-07,Russia,Si
9,1959-06-26,Italy,Si
10,1961-07-19,Brazil,Si
11,1962-12-19,Poland,Si
12,1963-08-12,France,Si
13,1963-12-08,Maryland,Si
14,1967-04-18,Iran,Si
15,1971-12-24,Peru,Si
16,1976-05-09,Spain,Si
17,1980-09-05,France,Si
18,1988-02-08,Germany,Si
19,1995-08-09,El Salvador,Si
20,2000-06-22,China,Si
21,2001-10-10,Spain,Si
22,2002-12-27,Comoros Islands,Si
